ID,TARGET
2024-07-01_B09KDR64LT,1006.0944195459747
2024-07-01_B0BNL11QD8,1006.0944195459747
2024-07-01_B0BDRS6R5Z,1006.0944195459747
2024-07-01_B0BNL4L4K5,1006.0944195459747
2024-07-01_B0BNL3J36Z,1006.0944195459747
2024-07-01_B0BNL3YY1C,1006.0944195459747
2024-07-01_B0BNL4S6MB,1006.0944195459747
2024-07-01_B0BRCXDHBX,1006.0944195459747
2024-07-01_B0BNL7TJRT,1006.0944195459747
2024-07-01_B0BRCW2B64,1006.0944195459747
2024-07-01_B0BRCW79VK,1006.0944195459747
2024-07-01_B0BRCXCXCV,1006.0944195459747
2024-07-01_B0BNL1CG6X,1006.0944195459747
2024-07-01_B0BNL5BKMK,1006.0944195459747
2024-07-01_B0BG2Z8CY4,1006.0944195459747
2024-07-01_B0BRCXJRX6,1006.0944195459747
2024-07-01_B0BNKZCWFL,1006.0944195459747
2024-07-01_B0BNKZ88Z5,1006.0944195459747
2024-07-01_B0BNKYZD2Z,1006.0944195459747
2024-07-01_B0BNKY8RQN,1006.0944195459747
2024-07-01_B0BNKXC5H1,1006.0944195459747
2024-07-01_B0BGDZLDX2,1006.0944195459747
2024-07-01_B0BGDXV7FD,1006.0944195459747
2024-07-01_B0BGDXM13S,1006.0944195459747
2024-07-01_B0BGDX2Z3L,1006.0944195459747
2024-07-01_B0BGDWGRQB,1006.0944195459747
2024-07-01_B0BSLTZV4Z,1006.0944195459747
2024-07-01_B0BG2T78CJ,1006.0944195459747
2024-07-01_B0BRCXQMS5,1006.0944195459747
2024-07-01_B0C9JLKFPZ,1006.0944195459747
2024-07-01_B0CR4BG4ZW,1006.0944195459747
2024-07-01_B0BRCXP7VN,1006.0944195459747
2024-07-01_B0CQVLFPBQ,1006.0944195459747
2024-07-01_B0CR49BQRS,1006.0944195459747
2024-07-01_B0CR49N6MQ,1006.0944195459747
2024-07-01_B0CR49NR3B,1006.0944195459747
2024-07-01_B0CR4BK4FW,1006.0944195459747
2024-07-01_B0CR4BGLK5,1006.0944195459747
2024-07-01_B0CR4C5WXS,1006.0944195459747
2024-07-01_B0CR4C98FS,1006.0944195459747
2024-07-01_B0CY5KFQBD,1006.0944195459747
2024-07-01_B0CFV6V981,1006.0944195459747
2024-07-01_B0BRCXJ1F6,1006.0944195459747
2024-07-01_B0CY5LR4VX,1006.0944195459747
2024-07-01_B0BSLWJKSX,1006.0944195459747
2024-07-01_B0BSLTV9FL,1006.0944195459747
2024-07-01_B0BRDCJWJC,1006.0944195459747
2024-07-01_B0BRDCBGFD,1006.0944195459747
2024-07-01_B0BRCYV77T,1006.0944195459747
2024-07-01_B0BRCYQNSW,1006.0944195459747
2024-07-01_B0BRCYK4JK,1006.0944195459747
2024-07-01_B0BRCYJ4SR,1006.0944195459747
2024-07-01_B0BRCYJ33N,1006.0944195459747
2024-07-01_B0BRCY8QMH,1006.0944195459747
2024-07-01_B0BRCXXBG2,1006.0944195459747
2024-07-01_B0BRCXQRC9,1006.0944195459747
2024-07-01_B0BG2PD396,1006.0944195459747
2024-07-01_B0BNKZYHRX,1006.0944195459747
2024-07-01_B0BNKZ9BJR,1006.0944195459747
2024-07-01_B09X1FWK8Z,1006.0944195459747
2024-07-01_B09KSYL73R,1006.0944195459747
2024-07-01_B09KDXJJ6W,1006.0944195459747
2024-07-01_B09MR4B13C,1006.0944195459747
2024-07-01_B09MR2MLZH,1006.0944195459747
2024-07-01_B09MR2FY5D,1006.0944195459747
2024-07-01_B09KTMLQ1N,1006.0944195459747
2024-07-01_B09KTMKDKJ,1006.0944195459747
2024-07-01_B09KTJRHC7,1006.0944195459747
2024-07-01_B09KTFXX6L,1006.0944195459747
2024-07-01_B09KTF8ZDQ,1006.0944195459747
2024-07-01_B09KT5HMNY,1006.0944195459747
2024-07-01_B09KSXP3HN,1006.0944195459747
2024-07-01_B0B31VFJ6Q,1006.0944195459747
2024-07-01_B09MR3Y296,1006.0944195459747
2024-07-01_B09MR36MLJ,1006.0944195459747
2024-07-01_B09KDW1YKQ,1006.0944195459747
2024-07-01_B09KDPXYG3,1006.0944195459747
2024-07-01_B09KDVXTP4,1006.0944195459747
2024-07-01_B0BDRTZTGX,1006.0944195459747
2024-07-01_B09KDLQ2GW,1006.0944195459747
2024-07-01_B09KDN7PYR,1006.0944195459747
2024-07-01_B09KDNYCYR,1006.0944195459747
2024-07-01_B09KDYY3SB,1006.0944195459747
2024-07-01_B09KDQ2BWY,1006.0944195459747
2024-07-01_B09KDTHJ6V,1006.0944195459747
2024-07-01_B0CY5QQ49F,1006.0944195459747
